市区町村コード,市区町村名,総人口,総65歳以上人口,居住125mメッシュ数,高齢者密度_人per_km2,道路距離対象_65歳以上人口,道路距離対象_総人口,圏外65歳以上人口_変種D,圏外率_変種D,圏外総人口_変種D,圏外率_変種D_総人口,圏外65歳以上人口_変種A,圏外率_変種A,圏外総人口_変種A,圏外率_変種A_総人口,圏外65歳以上人口_supermarketのみ,圏外65歳以上人口_変種C125,圏外率_変種C125,農水省_困難人口割合,農水省_困難人口,比_農水省÷変種D,比_農水省÷変種A,比_農水省÷変種C125
20307,北相木村,752,270,71,243.0,270,752,270,1.0,752,1.0,270,1.0,752,1.0,270,270,1.0,0.4177,113.0,0.418,0.418,0.418
32527,知夫村,576,278,58,307.0,270,562,270,1.0,562,1.0,278,1.0,576,1.0,278,278,1.0,0.6625,188.0,0.663,0.663,0.663
42383,小値賀町,2239,1162,169,440.0,1095,2160,1095,1.0,2160,1.0,850,0.7315,1634,0.7298,850,636,0.5473,0.6975,811.0,0.698,0.954,1.274
46535,与論町,5108,1782,569,200.0,1782,5108,1782,1.0,5108,1.0,1596,0.8956,4421,0.8655,1633,1386,0.7778,0.6199,1111.0,0.62,0.692,0.797
01517,礼文町,2331,843,202,267.0,826,2300,826,1.0,2300,1.0,695,0.8244,1806,0.7748,703,691,0.8197,0.5373,489.0,0.537,0.652,0.655
03484,田野畑村,3059,1299,462,180.0,1299,3059,1299,1.0,3054,0.9984,1299,1.0,3054,0.9984,1299,1299,1.0,0.2801,363.0,0.28,0.28,0.28
46533,和泊町,6218,2257,513,282.0,2257,6218,2257,1.0,6210,0.9987,2257,1.0,6211,0.9989,2257,2239,0.992,0.5456,1237.0,0.546,0.546,0.55
07445,金山町,1862,1131,245,295.0,1131,1862,1131,1.0,1862,1.0,1131,1.0,1862,1.0,1131,1131,1.0,0.4982,565.0,0.498,0.498,0.498
07548,葛尾村,420,194,141,88.0,194,420,194,1.0,420,1.0,194,1.0,420,1.0,194,194,1.0,0.0323,6.0,0.032,0.032,0.032
37364,直島町,2999,989,123,515.0,985,2982,985,1.0,2982,1.0,842,0.8514,2642,0.881,989,727,0.7351,0.4062,417.0,0.406,0.477,0.553
26367,南山城村,2396,1158,282,263.0,1158,2396,1153,0.9957,2384,0.995,1153,0.9957,2384,0.995,1153,1142,0.9862,0.2846,330.0,0.286,0.286,0.289
07564,飯舘村,1318,758,438,111.0,758,1318,754,0.9947,1306,0.9909,736,0.971,1280,0.9712,758,709,0.9354,0.0413,31.0,0.042,0.043,0.044
31403,江府町,2672,1311,209,401.0,1311,2672,1299,0.9908,2654,0.9933,1311,1.0,2672,1.0,1311,1299,0.9908,0.3019,396.0,0.305,0.302,0.305
43512,山江村,3265,1182,287,264.0,1182,3265,1171,0.9907,3184,0.9752,1182,1.0,3262,0.9991,1182,1127,0.9535,0.3294,385.0,0.332,0.329,0.345
38356,上島町,6318,2881,372,496.0,2867,6277,2825,0.9854,6195,0.9869,2286,0.7935,5227,0.8273,2570,2014,0.6991,0.4907,1449.0,0.498,0.618,0.702
