市区町村コード,市区町村名,総65歳以上人口,居住125mメッシュ数,高齢者密度_人per_km2,圏外65歳以上人口_変種A,圏外率_変種A,圏外65歳以上人口_supermarketのみ,圏外65歳以上人口_変種C125,圏外率_変種C125,農水省_困難人口割合,農水省_困難人口,比_農水省÷変種A,比_農水省÷変種C125
27218,大東市,31094,739,2693.0,7655,0.2462,19565,532,0.0171,0.1948,6126.0,0.791,11.384
40218,春日市,24534,732,2145.0,5964,0.2431,15744,574,0.0234,0.1665,4059.0,0.685,7.118
19384,昭和町,4070,423,616.0,982,0.2413,3067,34,0.0084,0.1953,778.0,0.809,23.373
47314,金武町,3011,281,686.0,718,0.2385,2537,461,0.1531,0.3466,1042.0,1.453,2.264
12204,船橋市,153564,3945,2491.0,36397,0.237,95726,7109,0.0463,0.2869,43832.0,1.211,6.198
11235,富士見市,26889,857,2008.0,6299,0.2343,15563,636,0.0237,0.1901,5164.0,0.811,8.036
27224,摂津市,21916,645,2175.0,5097,0.2326,17033,1102,0.0503,0.2929,6472.0,1.259,5.824
01100,札幌市,541415,17000,2038.0,125770,0.2323,357385,23139,0.0427,0.2359,127665.0,1.015,5.519
27212,八尾市,75139,1854,2594.0,17072,0.2272,47289,1948,0.0259,0.2491,18660.0,1.096,9.609
27205,吹田市,89121,1788,3190.0,20162,0.2262,55887,1724,0.0193,0.2226,19698.0,0.984,11.505
11245,ふじみ野市,29302,774,2423.0,6602,0.2253,14699,1002,0.0342,0.141,4134.0,0.626,4.124
12203,市川市,102231,2542,2574.0,22808,0.2231,56810,2776,0.0272,0.2593,26806.0,1.162,9.551
13223,武蔵村山市,19084,680,1796.0,4219,0.2211,13957,298,0.0156,0.3305,6229.0,1.495,21.167
28207,伊丹市,51607,1159,2850.0,11357,0.2201,30224,2304,0.0446,0.2664,13712.0,1.21,5.967
13206,府中市,56730,1373,2644.0,12468,0.2198,37864,1333,0.0235,0.3465,19671.0,1.577,14.748
26100,京都市,394178,10519,2398.0,85694,0.2174,201092,28120,0.0713,0.2421,95488.0,1.114,3.394
47207,石垣市,10452,1086,616.0,2250,0.2153,5644,918,0.0878,0.3156,3308.0,1.466,3.593
13207,昭島市,29993,721,2662.0,6419,0.214,17680,193,0.0064,0.2465,7397.0,1.152,38.311
23100,名古屋市,565144,16246,2226.0,119441,0.2113,364266,11962,0.0212,0.2415,136704.0,1.142,11.408
13213,東村山市,40808,960,2721.0,8544,0.2094,22740,415,0.0102,0.2518,10261.0,1.203,24.761
11230,新座市,41937,1163,2308.0,8735,0.2083,26928,726,0.0173,0.2068,8721.0,0.993,11.943
47354,座間味村,179,42,273.0,37,0.2067,118,21,0.1173,0.6077,114.0,2.94,5.18
27215,寝屋川市,68748,1265,3478.0,14120,0.2054,42243,1591,0.0231,0.2223,15129.0,1.082,9.605
13202,立川市,45596,1167,2501.0,9302,0.204,24967,652,0.0143,0.3014,13723.0,1.478,21.081
