市区町村コード,市区町村名,総人口,総65歳以上人口,居住125mメッシュ数,高齢者密度_人per_km2,道路距離対象_65歳以上人口,道路距離対象_総人口,圏外65歳以上人口,圏外率,圏外総人口,圏外率_総人口,スーパー圏外65歳以上人口,スーパー圏外率,農水省_困難人口割合,農水省_困難人口,比_農水省÷本推計
32505,吉賀町,6067,2710,726,239.0,2710,6067,2479,0.9148,5361,0.8836,2583,0.9531,0.4045,1100.0,0.442
24303,木曽岬町,6006,2011,262,491.0,2011,6006,1839,0.9145,5416,0.9018,2011,1.0,0.1867,375.0,0.204
20417,大鹿村,1023,465,189,157.0,465,1023,425,0.914,842,0.8231,425,0.914,0.4132,192.0,0.452
39344,大豊町,3251,1897,766,158.0,1897,3251,1733,0.9135,2844,0.8748,1786,0.9415,0.4295,819.0,0.47
09344,市貝町,11349,3357,1087,198.0,3357,11349,3065,0.913,9931,0.8751,3315,0.9875,0.2609,865.0,0.286
01645,豊頃町,3022,1226,408,192.0,1226,3022,1119,0.9127,2682,0.8875,1178,0.9608,0.249,297.0,0.273
28365,多可町,19276,7305,1328,352.0,7305,19276,6667,0.9127,17455,0.9055,7065,0.9671,0.3151,2302.0,0.345
10443,片品村,3996,1634,372,281.0,1634,3996,1490,0.9119,3711,0.9287,1532,0.9376,0.2122,348.0,0.233
32448,美郷町,4344,2071,730,182.0,2071,4344,1888,0.9116,3873,0.8916,1888,0.9116,0.3682,767.0,0.404
27322,能勢町,9058,3757,798,301.0,3757,9058,3423,0.9111,8179,0.903,3668,0.9763,0.3395,1279.0,0.373
04606,南三陸町,12128,4619,968,305.0,4619,12128,4204,0.9102,11018,0.9085,4466,0.9669,0.2522,1187.0,0.277
03503,野田村,3921,1506,374,258.0,1506,3921,1369,0.909,3577,0.9123,1369,0.909,0.3078,466.0,0.339
32343,奥出雲町,11849,5132,1684,195.0,5132,11849,4662,0.9084,10904,0.9202,5008,0.9758,0.3015,1547.0,0.332
24442,明和町,22436,7017,835,538.0,7017,22436,6370,0.9078,20238,0.902,6900,0.9833,0.1982,1389.0,0.218
20448,生坂村,1639,713,209,218.0,713,1639,647,0.9074,1499,0.9146,647,0.9074,0.268,187.0,0.295
36301,勝浦町,4833,2119,429,316.0,2119,4833,1922,0.907,4398,0.91,1950,0.9202,0.33,702.0,0.364
07465,中島村,4844,1460,373,251.0,1460,4844,1323,0.9062,4268,0.8811,1453,0.9952,0.141,209.0,0.156
38484,松野町,3680,1733,422,263.0,1733,3680,1568,0.9048,3186,0.8658,1575,0.9088,0.3603,624.0,0.398
02209,つがる市,30961,12009,1923,400.0,12009,30961,10862,0.9045,27246,0.88,11627,0.9682,0.3894,4673.0,0.431
43367,南関町,8963,3514,889,253.0,3514,8963,3178,0.9044,8052,0.8984,3404,0.9687,0.3127,1104.0,0.346
43369,和水町,9353,3972,897,283.0,3972,9353,3588,0.9033,8527,0.9117,3767,0.9484,0.2889,1144.0,0.32
07407,磐梯町,3326,1236,258,307.0,1236,3326,1116,0.9029,3042,0.9146,1158,0.9369,0.1895,236.0,0.21
45361,高原町,8657,3616,887,261.0,3616,8657,3265,0.9029,7951,0.9184,3432,0.9491,0.2916,1052.0,0.323
46529,喜界町,6598,2658,447,381.0,2658,6589,2400,0.9029,5893,0.8944,2400,0.9029,0.6068,1616.0,0.672
20386,中川村,4650,1663,510,209.0,1663,4650,1501,0.9026,4229,0.9095,1591,0.9567,0.1748,293.0,0.194
12347,多古町,13724,4954,1171,271.0,4954,13724,4470,0.9023,12179,0.8874,4847,0.9784,0.1534,782.0,0.17
46468,大崎町,12374,4896,1413,222.0,4896,12374,4416,0.902,10844,0.8764,4598,0.9391,0.3972,1934.0,0.44
28501,佐用町,15872,6856,1446,303.0,6856,15872,6178,0.9011,14158,0.892,6725,0.9809,0.3673,2517.0,0.408
08233,行方市,32184,11616,3561,209.0,11616,32184,10466,0.901,29012,0.9014,11307,0.9734,0.2084,2418.0,0.231
15405,出雲崎町,4093,1797,404,285.0,1793,4082,1615,0.9007,3579,0.8768,1688,0.9414,0.2808,506.0,0.312
07367,只見町,4044,1911,394,310.0,1911,4044,1721,0.9006,3625,0.8964,1772,0.9273,0.3882,740.0,0.431
45443,五ヶ瀬町,3514,1532,450,218.0,1532,3514,1379,0.9001,3202,0.9112,1391,0.908,0.2665,397.0,0.296
43425,産山村,1383,589,218,173.0,589,1383,530,0.8998,1245,0.9002,530,0.8998,0.3204,190.0,0.356
01437,北竜町,1724,776,228,218.0,776,1724,698,0.8995,1582,0.9176,776,1.0,0.3753,291.0,0.417
02367,田舎館村,7365,2676,361,474.0,2676,7365,2407,0.8995,6594,0.8953,2676,1.0,0.4095,1081.0,0.455
28301,猪名川町,29762,9390,796,755.0,9390,29762,8445,0.8994,26088,0.8766,9206,0.9804,0.3568,3358.0,0.397
